Device,Driver,Firmware,Interface,MAC Address,MTU,Link,Speed/Duplex,Parent Bond,Switch Name,Port Name
0000:19:00.0,i40e,9.50 0x8000f25e 23.0.8,eno1np0,XX:XX:XX:XX:XX:01,9100,up,10000Mb/s (Full),bond0,switch-01.example.net,ifname xe-0/0/2
0000:19:00.1,i40e,9.50 0x8000f25e 23.0.8,eno2np1,XX:XX:XX:XX:XX:02,9100,up,10000Mb/s (Full),bond1,switch-01.example.net,ifname xe-0/0/3
0000:19:00.2,i40e,9.50 0x8000f25e 23.0.8,eno3np2,XX:XX:XX:XX:XX:03,1500,down,N/A (N/A),None,,
0000:19:00.3,i40e,9.50 0x8000f25e 23.0.8,eno4np3,XX:XX:XX:XX:XX:04,1500,down,N/A (N/A),None,,
0000:5e:00.0,i40e,9.50 0x8000f251 23.0.8,ens3f0np0,XX:XX:XX:XX:XX:05,9100,up,25000Mb/s (Full),bond2,switch-01.example.net,ifname et-0/0/38
0000:5e:00.1,i40e,9.50 0x8000f251 23.0.8,ens3f1np1,XX:XX:XX:XX:XX:06,9100,up,25000Mb/s (Full),bond3,switch-01.example.net,ifname et-0/0/39
0000:86:00.0,i40e,9.50 0x8000f25d 23.0.8,ens5f0np0,XX:XX:XX:XX:XX:07,9100,up,10000Mb/s (Full),bond0,switch-02.example.net,ifname xe-0/0/2
0000:86:00.1,i40e,9.50 0x8000f25d 23.0.8,ens5f1np1,XX:XX:XX:XX:XX:08,9100,up,10000Mb/s (Full),bond1,switch-02.example.net,ifname xe-0/0/3
0000:86:00.2,i40e,9.50 0x8000f25d 23.0.8,ens5f2np2,XX:XX:XX:XX:XX:09,1500,down,N/A (N/A),None,,
0000:86:00.3,i40e,9.50 0x8000f25d 23.0.8,ens5f3np3,XX:XX:XX:XX:XX:0a,1500,down,N/A (N/A),None,,
0000:d8:00.0,i40e,9.50 0x8000f251 23.0.8,ens8f0np0,XX:XX:XX:XX:XX:0b,9100,up,25000Mb/s (Full),bond2,switch-02.example.net,ifname et-0/0/38
0000:d8:00.1,i40e,9.50 0x8000f251 23.0.8,ens8f1np1,XX:XX:XX:XX:XX:0c,9100,up,25000Mb/s (Full),bond3,switch-02.example.net,ifname et-0/0/39
1-14.3:1.0,cdc_ether,CDC Ethernet Device,idrac,XX:XX:XX:XX:XX:0d,1500,up,425Mb/s (Half),None,,
